disる	でぃする
あます	あます
あます	余す
あまやかす	あまやかす
あまやかす	甘やかす
あまる	あまる
あまる	余る
あま下る	あまくだる
あま下る	天下る
あみこむ	あみこむ
あみだす	あみだす
あみだす	編み出す
あみ上がる	あみあがる
あみ上がる	編み上がる
あみ出す	あみだす
あみ出す	編み出す
あみ出す	編出す
あみ込む	あみこむ
あみ込む	編み込む
あみ込む	編込む
あむ	あむ
あむ	編む
あやかる	あやかる
あやしむ	あやしむ
あやしむ	怪しむ
あやし楽しむ	あやしたのしむ
あやす	あやす
あやつる	あやつる
あやつる	操る
あやどる	あやどる
あやなす	あやなす
あやぶむ	あやぶむ
あやぶむ	危ぶむ
あやまつ	あやまつ
あやまつ	過つ
あやまり歩く	あやまりあるく
あやまる	あやまる
あやまる	誤る
あやまる	謝る
あゆみよる	あゆみよる
あゆみよる	歩み寄る
あゆみ出す	あゆみだす
あゆみ寄る	あゆみよる
あゆみ寄る	歩み寄る
あゆむ	あゆむ
あゆむ	歩む
あらいおとす	あらいおとす
あらいざらす	あらいざらす
あらいだす	あらいだす
あらいだす	洗い出す
あらいなおす	あらいなおす
あらいながす	あらいながす
あらいながす	洗い流す
あらい出す	あらいだす
あらい出す	洗い出す
あらい晒す	あらいざらす
あらい晒す	洗い晒す
あらい流す	あらいながす
あらい流す	洗い流す
あらい直す	あらいなおす
あらい直す	洗い直す
あらい落す	あらいおとす
あらい落す	洗い落す
あらい落とす	あらいおとす
あらい落とす	洗い落とす
あらい込む	あらいこむ
あらい込む	洗い込む
あらう	あらう
あらう	洗う
あらがう	あらがう
あらす	あらす
あらす	荒らす
あらそう	あらそう
あらそう	争う
あらたまる	あらたまる
あらたまる	改まる
あらだつ	あらだつ
あらっしゃる	あらっしゃる
あらはす	あらわす
あらふ	あらう
あらわす	あらわす
あらわす	現す
あらわす	著す
あらわす	表す
あら立つ	あらだつ
あら立つ	荒立つ
ありあう	ありあう
ありあまる	ありあまる
ありあまる	有り余る
ありあわす	ありあわす
ありがたがる	ありがたがる
ありつく	ありつく
あり付く	ありつく
あり付く	あり付く
あり付く	在り付く
あり付く	有り付く
あり余る	ありあまる
あり余る	あり余る
あり余る	有り余る
あり合う	ありあう
あり合う	在り合う
あり合う	有り合う
あり合わす	ありあわす
あり合わす	在り合わす
あり合わす	有り合わす
あり残る	ありのこる
ある	ある
ある	有る
あるきとおす	あるきとおす
あるきまわる	あるきまわる
あるき回る	あるきまわる
あるき回る	歩き回る
あるき通す	あるきとおす
あるき通す	歩き通す
あるく	あるく
あるく	歩く
あれくるう	あれくるう
あれくるう	荒れ狂う
あれだつ	あれだつ
あれ狂う	あれくるう
あれ狂う	荒れ狂う
あれ立つ	あれだつ
あれ立つ	荒れ立つ
あわさる	あわさる
あわさる	合わさる
あわす	あわす
あわす	合わす
あわせもつ	あわせもつ
あわせもつ	併せ持つ
あわせ吞む	あわせのむ
あわせ学ぶ	あわせまなぶ
あわせ持つ	あわせもつ
あわせ持つ	併せ持つ
あわせ持つ	合せ持つ
あわせ示す	あわせしめす
あわせ行う	あわせおこなう
あわせ行なう	あわせおこなう
あわだつ	あわだつ
あわだつ	泡立つ
あわてふためく	あわてふためく
あわてふためく	慌てふためく
あわて惑う	あわてまどう
あわて腐る	あわてくさる
あわて込む	あわてこむ
あわて返る	あわてかえる
あわれみ悲しむ	あわれみかなしむ
あわれむ	あわれむ
あわれむ	哀れむ
あわ立つ	あわだつ
あわ立つ	泡立つ
あわ立つ	粟立つ
いあわす	いあわす
いいあう	いいあう
いいあやまる	いいあやまる
いいあらそう	いいあらそう
いいあらそう	言い争う
いいあらわす	いいあらわす
いいあらわす	言い表す
いいあるく	いいあるく
いいあわす	いいあわす
いいおく	いいおく
いいおくる	いいおくる
いいおとす	いいおとす
いいおよぶ	いいおよぶ
いいかえす	いいかえす
いいかつ	いいかつ
いいかわす	いいかわす
いいかわす	言い交わす
いいきかす	いいきかす
いいきる	いいきる
いいくさす	いいくさす
いいくたす	いいくたす
いいくらす	いいくらす
いいけす	いいけす
いいこす	いいこす
いいこなす	いいこなす
いいこむ	いいこむ
いいさす	いいさす
いいさとす	いいさとす
いいしぶる	いいしぶる
いいすごす	いいすごす
いいすべらす	いいすべらす
いいそこなう	いいそこなう
いいたす	いいたす
いいだす	いいだす
いいちがう	いいちがう
いいちらす	いいちらす
いいつかる	いいつかる
いいつかる	言い付かる
いいつくす	いいつくす
いいつくろう	いいつくろう
いいつぐ	いいつぐ
いいつのる	いいつのる
いいとおす	いいとおす
いいなおす	いいなおす
いいなす	いいなす
いいなやむ	いいなやむ
いいならす	いいならす
いいならわす	いいならわす
いいならわす	言い習わす
いいのこす	いいのこす
いいののしる	いいののしる
いいはぐらす	いいはぐらす
いいはげます	いいはげます
いいはなす	いいはなす
いいはなつ	いいはなつ
いいはなつ	言い放つ
いいはやす	いいはやす
いいはる	いいはる
いいはる	言い張る
いいひらく	いいひらく
いいふらす	いいふらす
いいふらす	言い触らす
いいふるす	いいふるす
いいふるす	言い古す
いいほどく	いいほどく
いいまかす	いいまかす
いいまぎらす	いいまぎらす
いいまぎらわす	いいまぎらわす
いいまくる	いいまくる
いいまわす	いいまわす
いいもらす	いいもらす
いいやぶる	いいやぶる
いいやる	いいやる
いいよどむ	いいよどむ
いいよどむ	言い淀む
いいよる	いいよる
いいわたす	いいわたす
いい争う	いいあらそう
いい争う	言い争う
いい争う	言争う
いい交わす	いいかわす
いい交わす	言い交わす
いい交わす	言交わす
いい付かる	いいつかる
いい付かる	言い付かる
いい做す	いいなす
いい做す	言い做す
いい出す	いいだす
いい出す	言い出す
いい出す	言出す
いい切る	いいきる
いい切る	言い切る
いい切る	言切る
いい励ます	いいはげます
いい励ます	言い励ます
いい勝つ	いいかつ
いい勝つ	言い勝つ
いい勝つ	言勝つ
いい募る	いいつのる
いい募る	言い募る
いい募る	言募る
いい及ぶ	いいおよぶ
いい及ぶ	言い及ぶ
いい及ぶ	言及ぶ
いい古す	いいふるす
いい古す	言い古す
いい古す	言古す
いい合う	いいあう
いい合う	言い合う
いい合う	言合う
いい合わす	いいあわす
いい合わす	言い合わす
いい囃す	いいはやす
いい囃す	言い囃す
いい回す	いいまわす
いい回す	言い回す
いい回す	言回す
いい寄る	いいよる
いい寄る	言い寄る
いい寄る	言寄る
いい尽くす	いいつくす
いい尽くす	言い尽くす
いい尽す	いいつくす
いい尽す	言い尽す
いい張る	いいはる
いい張る	言い張る
いい悩む	いいなやむ
いい悩む	言い悩む
いい悩む	言悩む
いい慣らす	いいならす
いい慣らす	言い慣らす
いい慣らす	言慣らす
いい慣わす	いいならわす
いい慣わす	言い習わす
いい捲る	いいまくる
いい捲る	言い捲る
いい損なう	いいそこなう
いい損なう	言い損なう
いい放す	いいっぱなす
いい放す	いいはなす
いい放す	言いっぱなす
いい放す	言い放す
いい放す	言放す
いい放つ	いいはなつ
いい放つ	言い放つ
いい放つ	言放つ
いい散らす	いいちらす
いい散らす	言い散らす
いい散らす	言散らす
いい旧す	いいふるす
いい旧す	言い旧す
いい暮す	いいくらす
いい暮す	言い暮す
いい暮らす	いいくらす
いい暮らす	言い暮らす
いい止す	いいさす
いい止す	言い止す
いい歩く	いいあるく
いい歩く	言い歩く
いい歩く	言歩く
いい残す	いいのこす
いい残す	言い残す
いい残す	言残す
いい洩らす	いいもらす
いい洩らす	言い洩らす
いい消す	いいけす
いい消す	言い消す
いい消す	言消す
いい淀む	いいよどむ
いい淀む	言い淀む
いい渋る	いいしぶる
いい渋る	言い渋る
いい渋る	言渋る
いい渡す	いいわたす
いい渡す	言い渡す
いい渡す	言渡す
いい滑らす	いいすべらす
いい滑らす	言い滑らす
いい漏らす	いいもらす
いい漏らす	言い漏らす
いい漏らす	言漏らす
いい熟す	いいこなす
いい熟す	言い熟す
いい直す	いいなおす
いい直す	言い直す
いい直す	言直す
いい破る	いいやぶる
いい破る	言い破る
いい破る	言破る
いい紛らす	いいまぎらす
いい紛らす	言い紛らす
いい紛らわす	いいまぎらわす
いい紛らわす	言い紛らわす
いい継ぐ	いいつぐ
いい継ぐ	言い継ぐ
いい継ぐ	言継ぐ
いい綴る	いいつづる
いい繕う	いいつくろう
いい繕う	言い繕う
いい繕う	言繕う
いい置く	いいおく
いい置く	言い置く
いい置く	言置く
いい罵る	いいののしる
いい罵る	言い罵る
いい習わす	いいならわす
いい習わす	言い習わす
いい習わす	言習わす
いい聞かす	いいきかす
いい聞かす	言い聞かす
いい聞かす	言聞かす
いい腐す	いいくたす
いい腐す	言い腐す
いい落す	いいおとす
いい落す	言い落す
いい落とす	いいおとす
いい落とす	言い落とす
いい表す	いいあらわす
いい表す	言い表す
いい表す	言表す
いい解く	いいほどく
いい解く	言い解く
いい触らす	いいふらす
いい触らす	言い触らす
いい触らす	言触らす
いい誤る	いいあやまる
いい誤る	言い誤る
いい誤る	言誤る
いい諭す	いいさとす
いい諭す	言諭す
いい負かす	いいまかす
いい負かす	言い負かす
いい負かす	言負かす
いい越す	いいこす
いい越す	言い越す
いい越す	言越す
いい足す	いいたす
いい足す	言い足す
いい足す	言足す
いい込む	いいこむ
いい込む	言込む
いい返す	いいかえす
いい返す	言い返す
いい返す	言返す
いい送る	いいおくる
いい送る	言い送る
いい送る	言送る
いい通す	いいとおす
いい通す	言い通す
いい通す	言通す
いい逸らす	いいはぐらす
いい逸らす	言い逸らす
いい過ごす	いいすごす
いい過ごす	言い過ごす
いい違う	いいちがう
いい違う	言い違う
いい違う	言違う
いい遣る	いいやる
いい遣る	言い遣る
いい遺す	いいのこす
いい開く	いいひらく
いい開く	言い開く
いい開く	言開く
いい顕す	いいあらわす
いい顕す	言い顕す
いい馴らす	いいならす
いい馴らす	言い馴らす
いう	いう
いう	ゆう
いう	言う
いおとす	いおとす
いおとす	射落とす
いかえす	いかえす
いかす	いかす
いかす	生かす
いかつく	いかつく
いからす	いからす
いかりくるう	いかりくるう
