disる	でぃする
つきくずす	つきくずす
つきくずす	突き崩す
つきくだく	つきくだく
つきこむ	つきこむ
つきころす	つきころす
つきころばす	つきころばす
つきささる	つきささる
つきささる	突き刺さる
つきさす	つきさす
つきさす	突き刺す
つきしたがう	つきしたがう
つきすすむ	つきすすむ
つきすすむ	突き進む
つきそう	つきそう
つきそう	付き添う
つきたおす	つきたおす
つきたつ	つきたつ
つきだす	つきだす
つきだす	突き出す
つきとおす	つきとおす
つきとおす	突き通す
つきとおる	つきとおる
つきとばす	つきとばす
つきとばす	突き飛ばす
つきぬく	つきぬく
つきのめす	つきのめす
つきはなす	つきはなす
つきはなす	突き放す
つきまつわる	つきまつわる
つきまとう	つきまとう
つきまとう	付き纏う
つきもどす	つきもどす
つきやぶる	つきやぶる
つきやぶる	突き破る
つきやる	つきやる
つき上がる	つきあがる
つき上がる	突き上がる
つき会う	つきあう
つき倒す	つきたおす
つき倒す	突き倒す
つき倒す	突倒す
つき入る	つきいる
つき入る	突き入る
つき入る	突入る
つき出す	つきだす
つき出す	つつきだす
つき出す	突き出す
つき出す	突出す
つき切る	つききる
つき切る	突き切る
つき切る	突切る
つき刺さる	つきささる
つき刺さる	突き刺さる
つき刺さる	突刺さる
つき刺す	つきさす
つき刺す	突き刺す
つき刺す	突刺す
つき動かす	つきうごかす
つき動かす	突き動かす
つき動かす	突動かす
つき動かす	衝き動かす
つき合う	つきあう
つき合う	付き合う
つき合う	付合う
つき合す	つきあわす
つき合す	突き合す
つき合わす	つきあわす
つき合わす	突き合わす
つき回す	つつきまわす
つき回す	突き回す
つき崩す	つきくずす
つき崩す	突き崩す
つき崩す	突崩す
つき当たる	つきあたる
つき当たる	突き当たる
つき当る	つきあたる
つき当る	突き当たる
つき当る	突き当る
つき従う	つきしたがう
つき従う	付き従う
つき從ふ	つきしたがう
つき戻す	つきもどす
つき戻す	突き戻す
つき戻す	突戻す
つき抜く	つきぬく
つき抜く	突き抜く
つき抜く	突抜く
つき掛かる	つきかかる
つき掛かる	突き掛かる
つき掛る	つきかかる
つき掛る	突き掛る
つき放す	つきはなす
つき放す	突き放す
つき放す	突放す
つき殺す	つきころす
つき殺す	突き殺す
つき殺す	突殺す
つき添う	つきそう
つき添う	付き添う
つき添う	付添う
つき砕く	つきくだく
つき砕く	搗き砕く
つき砕く	突き砕く
つき砕く	舂き砕く
つき破る	つきやぶる
つき破る	突き破る
つき破る	突破る
つき立つ	つきたつ
つき立つ	突き立つ
つき纏う	つきまとう
つき纏う	付き纏う
つき纏わる	つきまつわる
つき纏わる	付き纏わる
つき落す	つきおとす
つき落す	突き落す
つき落す	突き落とす
つき落とす	つきおとす
つき落とす	突き落とす
つき走る	つきはしる
つき転ばす	つきころばす
つき転ばす	突き転ばす
つき込む	つきこむ
つき込む	突き込む
つき込む	突込む
つき返す	つきかえす
つき返す	突き返す
つき返す	突返す
つき通す	つきとおす
つき通す	吐き通す
つき通す	突き通す
つき通す	突通す
つき通る	つきとおる
つき通る	突き通る
つき通る	突通る
つき進む	つきすすむ
つき進む	突き進む
つき進む	突進む
つき遣る	つきやる
つき遣る	突き遣る
つき随う	つきしたがう
つき随う	付き随う
つき離す	つきはなす
つき飛ばす	つきとばす
つき飛ばす	突き飛ばす
つき飛ばす	突飛ばす
つき鳴らす	つきならす
つぎあわす	つぎあわす
つぎこむ	つぎこむ
つぎこむ	つぎ込む
つぎたす	つぎたす
つぎたす	継ぎ足す
つぎ合す	つぎあわす
つぎ合す	継ぎ合す
つぎ合わす	つぎあわす
つぎ合わす	継ぎ合わす
つぎ足す	つぎたす
つぎ足す	注ぎ足す
つぎ足す	継ぎ足す
つぎ足す	継足す
つぎ込む	つぎこむ
つぎ込む	つぎ込む
つぎ込む	注ぎ込む
つく	つく
つく	付く
つく	就く
つく	搗く
つく	点く
つく	着く
つく	突く
つくす	つくす
つくす	尽くす
つくなむ	つくなむ
つくばう	つくばう
つくばる	つくばる
つくりおく	つくりおく
つくりこむ	つくりこむ
つくりだす	つくりだす
つくりなおす	つくりなおす
つくり出す	つくりだす
つくり出す	作り出す
つくり合う	つくりあう
つくり直す	つくりなおす
つくり直す	作り直す
つくり置く	つくりおく
つくり置く	作り置く
つくり込む	つくりこむ
つくり込む	作り込む
つくり込む	造り込む
つくり飛ばす	つくりとばす
つくる	つくる
つくる	作る
つくる	創る
つくる	造る
つくろう	つくろう
つくろう	繕う
つくーる	つくる
つぐ	つぐ
つぐ	告ぐ
つぐ	接ぐ
つぐ	次ぐ
つぐ	注ぐ
つぐ	継ぐ
つぐなう	つぐなう
つぐなう	償う
つぐのう	つぐのう
つぐむ	つぐむ
つけあがる	つけあがる
つけあがる	付け上がる
つけいる	つけいる
つけいる	付け入る
つけくわわる	つけくわわる
つけこむ	つけこむ
つけこむ	付け込む
つけたす	つけたす
つけたす	付け足す
つけだす	つけだす
つけなおす	つけなおす
つけねらう	つけねらう
つけねらう	付け狙う
つけまわす	つけまわす
つけまわす	付け回す
つけまわる	つけまわる
つけ上がる	つけあがる
つけ上がる	付け上がる
つけ上る	つけあがる
つけ上る	付け上る
つけ入る	つけいる
つけ入る	付け入る
つけ入る	付入る
つけ出す	つけだす
つけ出す	付け出す
つけ出す	付出す
つけ加はる	つけくわわる
つけ加わる	つけくわわる
つけ加わる	付け加わる
つけ加わる	付加わる
つけ回す	つけまわす
つけ回す	付け回す
つけ回す	付回す
つけ回る	つけまわる
つけ回る	付け回る
つけ回る	付回る
つけ廻す	つけまわす
つけ放す	つけはなす
つけ狙う	つけねらう
つけ狙う	付け狙う
つけ直す	つけなおす
つけ直す	付直す
つけ落とす	つけおとす
つけ落とす	付け落とす
つけ覗ふ	つけねらう
つけ足す	つけたす
つけ足す	付け足す
つけ足す	付足す
つけ込む	つけこむ
つけ込む	付け込む
つけ込む	付込む
つけ込む	漬け込む
つけ込む	漬込む
つげさとす	つげさとす
つげまわる	つげまわる
つげ回る	つげまわる
つげ回る	告げ回る
つげ諭す	つげさとす
つげ諭す	告げ諭す
つたいあるく	つたいあるく
つたい歩く	つたいあるく
つたい歩く	伝い歩く
つたう	つたう
つたう	伝う
つたえきく	つたえきく
つたえきく	伝え聞く
つたえ合う	つたえあう
つたえ聞く	つたえきく
つたえ聞く	伝え聞く
つたわる	つたわる
つたわる	伝わる
つちかう	つちかう
つちかう	培う
つちかふ	つちかう
つっかえす	つきかえす
つっかえす	つっかえす
つっかかる	つっかかる
つっかかる	突っ掛かる
つっきる	つっきる
つっきる	突っ切る
つっくるむ	つっくるむ
つっこむ	つきこむ
つっこむ	つっこむ
つっこむ	突っ込む
つっころばす	つきころばす
つっころばす	つっころばす
つったつ	つきたつ
つったつ	つったつ
つったつ	突っ立つ
つっつきまわす	つっつきまわす
つっつきまわす	つつきまわす
つっつき回す	つっつきまわす
つっつき回す	つつきまわす
つっつき回す	突っ突き回す
つっつく	つっつく
つっつく	つつく
つっぱしる	つっぱしる
つっぱしる	突っ走る
つっぱなす	つきはなす
つっぱなす	つっぱなす
つっぱらかる	つっぱらかる
つっぱる	つっぱる
つっぱる	突っ張る
つっぷす	つっぷす
つっ伏す	つっぷす
つっ伏す	突っ伏す
つっ切る	つっきる
つっ切る	突っ切る
つっ包む	つっくるむ
つっ包む	突っ包む
つっ張らかる	つっぱらかる
つっ張らかる	突っ張らかる
つっ張る	つっぱる
つっ張る	突っ張る
つっ括む	つっくるむ
つっ括む	突っ括む
つっ掛かる	つっかかる
つっ掛かる	突っ掛かる
つっ掛る	つっかかる
つっ掛る	突っ掛かる
つっ掛る	突っ掛る
つっ放す	つきはなす
つっ放す	つっぱなす
つっ放す	突っ放す
つっ突き回す	つっつきまわす
つっ突き回す	突っ突き回す
つっ突く	つっつく
つっ突く	つつく
つっ突く	突っ突く
つっ立つ	つきたつ
つっ立つ	つったつ
つっ立つ	突っ立つ
つっ走る	つっぱしる
つっ走る	突っ走る
つっ転ばす	つっころばす
つっ転ばす	突っ転ばす
つっ込む	つきこむ
つっ込む	つっこむ
つっ込む	突っ込む
つっ返す	つきかえす
つっ返す	つっかえす
つっ返す	突っ返す
つつきだす	つつきだす
つつきまはる	つつきまわる
つつきまわす	つつきまわす
つつき出す	つつきだす
つつき出す	つつき出す
つつき出す	突き出す
つつき合う	つつきあう
つつき回す	つつきまわす
つつき回す	突き回す
つつき散らす	つつきちらす
つつき殺す	つつきころす
つつく	つつく
つつく	突つく
つつしみ敬う	つつしみうやまう
つつしむ	つつしむ
つつしむ	慎む
つつつきまはる	つつきまわる
つつぱる	つっぱる
つつみかくす	つつみかくす
つつみかくす	包み隠す
つつみこむ	つつみこむ
つつみ匿す	つつみかくす
つつみ匿す	包み匿す
つつみ込む	つつみこむ
つつみ込む	包み込む
つつみ込む	包込む
つつみ隠す	つつみかくす
つつみ隠す	包み隠す
つつみ隠す	包隠す
つつみ飾る	つつみかざる
つつむ	つつむ
つつむ	包む
つづく	つづく
つづく	続く
つづくる	つづくる
つづまる	つづまる
つづり合す	つづりあわす
つづり合わす	つづりあわす
つづり残す	つづりのこす
つづる	つづり
つづる	つづる
つづる	つづる 名詞派生:綴
つづる	綴る
つとまる	つとまる
つとまる	勤まる
つとめ励む	つとめはげむ
つどう	つどう
つどう	集う
つながり合う	つながりあう
つながる	つながる
つながる	繋がる
つなぎ合う	つなぎあう
つなぎ合ふ	つなぎあう
つなぎ合わす	つなぎあわす
つなぎ合わす	繋ぎ合わす
つなぎ直す	つなぎなおす
つなぐ	つなぐ
つなぐ	繋ぐ
つねる	つねる
つねる	抓る
つのだつ	つのだつ
つのめだつ	つのめだつ
つのめ立つ	つのめだつ
つのめ立つ	角目立つ
つのらす	つのらす
つのる	つのる
つのる	募る
つの立つ	つのだつ
つの立つ	角立つ
つぶす	つぶす
つぶす	潰す
つぶだつ	つぶだつ
つぶやき返す	つぶやきかえす
つぶやく	つぶやく
つぶやく	呟く
つぶる	つぶる
つぶる	瞑る
つぶ立つ	つぶだつ
つぶ立つ	粒立つ
つぼまる	つぼまる
つぼむ	すぼむ
つぼむ	つぼむ
つまおる	つまおる
つまぐる	つまぐる
つまさきだつ	つまさきだつ
つまさき立つ	つまさきだつ
つまさき立つ	爪先立つ
つまずく	つまずく
つまずく	躓く
つまだつ	つまだつ
つまづく	つまずく
つまどる	つまどる
つまびく	つまびく
つまびく	爪弾く
つまみだす	つまみだす
つまみだす	摘み出す
つまみとる	つまみとる
つまみ出す	つまみだす
つまみ出す	つまみ出す
つまみ出す	摘まみ出す
つまみ出す	摘み出す
つまみ出す	撮み出す
つまみ取る	つまみとる
つまみ取る	摘まみ取る
つまみ取る	撮み取る
つまみ落とす	つまみおとす
つまみ読む	つまみよむ
つまむ	つまむ
つまむ	摘まむ
つまる	つまる
つまる	詰まる
つま先立つ	つまさきだつ
つま引く	つまびく
つま引く	爪弾く
つま弾く	つまびく
つま弾く	爪弾く
つま折る	つまおる
つま折る	爪折る
つま立つ	つまだつ
つま立つ	爪立つ
つみあがる	つみあがる
つみあがる	積み上がる
つみかさなる	つみかさなる
つみかさなる	積み重なる
つみこむ	つみこむ
つみだす	つみだす
つみだす	積み出す
つみとる	つみとる
つみとる	摘み取る
つみなおす	つみなおす
つみのこす	つみのこす
つみます	つみます
つみ上がる	つみあがる
つみ上がる	積み上がる
つみ出す	つまみだす
つみ出す	つみだす
つみ出す	摘み出す
つみ出す	積み出す
つみ出す	積出す
つみ取る	つみとる
つみ取る	摘み取る
つみ取る	摘取る
つみ増す	つみます
つみ増す	積み増す
つみ残す	つみのこす
つみ残す	積み残す
つみ残す	積残す
つみ直す	つみなおす
つみ直す	積み直す
つみ直す	積直す
つみ込む	つみこむ
つみ込む	積み込む
つみ込む	積込む
つみ重なる	つみかさなる
つみ重なる	積み重なる
つみ重なる	積重なる
つむ	つむ
つむ	摘む
つむ	積む
つむ	詰む
つむぐ	つむぐ
つむぐ	紡ぐ
つむる	つぶる
つむる	つむる
つめあう	つめあう
つめきる	つめきる
つめこむ	つめこむ
つめよる	つめよる
つめよる	詰め寄る
つめる	つめる
つめ切る	つめきる
つめ切る	詰め切る
つめ切る	詰切る
つめ合う	つめあう
つめ合う	詰め合う
つめ合う	詰合う
つめ寄る	つめよる
つめ寄る	詰め寄る
つめ寄る	詰寄る
つめ込む	つめこむ
つめ込む	詰め込む
つめ込む	詰込む
つもりつもる	つもりつもる
つもり積もる	つもりつもる
つもり積もる	積もり積もる
つもる	つもる
つもる	積もる
つやめく	つやめく
つよがる	つよがる
つよまる	つよまる
つよまる	強まる
つらなり重なる	つらなりかさなる
つらなる	つらなる
つらなる	連なる
つらぬきとおす	つらぬきとおす
つらぬきとおす	貫き通す
つらぬき通す	つらぬきとおす
つらぬき通す	貫き通す
つらぬく	つらぬく
つらぬく	貫く
つらまる	つらまる
つりあう	つりあう
つりあう	釣り合う
つりあがる	つりあがる
つりおとす	つりおとす
つりこむ	つりこむ
つりさがる	つりさがる
つりだす	つりだす
つり上がる	つりあがる
つり上がる	吊り上がる
つり上がる	釣り上がる
つり上る	つりあがる
つり上る	吊り上る
つり上る	釣り上る
つり下がる	つりさがる
つり下がる	吊り下がる
つり下がる	釣り下がる
つり下る	つりさがる
つり下る	吊り下る
つり下る	釣り下る
つり下ろす	つりおろす
つり下ろす	吊り下ろす
つり出す	つりだす
つり出す	つり出す
つり出す	吊り出す
つり出す	釣り出す
つり出す	釣出す
つり合う	つりあう
つり合う	釣り合う
つり合う	釣合う
つり落す	つりおとす
つり落す	釣り落す
つり落とす	つりおとす
つり落とす	釣り落とす
つり込む	つりこむ
つり込む	釣り込む
つり込む	釣込む
つる	つる
つる	吊る
つる	釣る
つるさがる	つりさがる
つるし上がる	つるしあがる
つるし上がる	吊るし上がる
つるし出す	つるしだす
つるす	つるす
つるす	吊るす
つるむ	つるむ
つる下がる	つるさがる
つれあう	つれあう
つれかえる	連れ帰る
つれこむ	つれこむ
つれさる	つれさる
つれそう	つれそう
つれそう	連れ添う
つれだす	つれだす
つれだす	連れ出す
つれだつ	つれだつ
つれだつ	連れ立つ
つれもどす	つれもどす
つれもどす	連れ戻す
つれ出す	つれだす
つれ出す	連れ出す
つれ出す	連出す
つれ去る	つれさる
つれ去る	連れ去る
つれ去る	連去る
つれ合う	つれあう
つれ合う	連れ合う
つれ合う	連合う
つれ回す	つれまわす
つれ回す	連れ回す
つれ回る	つれまわる
つれ回る	連れ回る
つれ帰る	つれかえる
つれ帰る	連れ帰る
つれ戻す	つれもどす
つれ戻す	連れ戻す
つれ戻す	連戻す
つれ歩く	つれあるく
つれ歩く	連れ歩く
つれ添う	つれそう
つれ添う	連れ添う
つれ添う	連添う
つれ立つ	つれだつ
つれ立つ	連れ立つ
つれ立つ	連立つ
つれ込む	つれこむ
つれ込む	連れ込む
つれ込む	連込む
つんざく	つんざく
つんだす	つんだす
つんのめる	つんのめる
つん出す	つんだす
つん出す	突ん出す
つん裂く	つんざく
つゝむ	つつむ
つゞく	つづく
つッ込む	つきこむ
づかす	つかす
づく	つく
づくす	つくす
づくる	つくる
づくろう	つくろう
てあます	てあます
ていさいぶる	ていさいぶる
ていす	ていす
ていす	呈す
てかつく	てかつく
てかる	てかる
てきす	てきす
てきす	てきする
てきす	適す
てくる	てくる
てぐすねひく	手薬煉引く
てぐすね引く	てぐすねひく
てぐすね引く	手薬煉引く
てこずる	てこずる
てじまう	てじまう
てじ舞う	てじまう
てじ舞う	手仕舞う
てっす	てっする
てっす	徹す
てつだう	てつだう
てつだう	手伝う
てづまる	てづまる
てばなす	てばなす
てばなす	手放す
てまさぐる	てまさぐる
てまどる	てまどる
てまどる	手間取る
てま取る	てまどる
てま取る	手間取る
てむかう	てむかう
てむかう	手向かう
てらう	てらう
てらしあわす	てらしあわす
てらしあわす	照らし合わす
てらしだす	てらしだす
てらし出す	てらしだす
てらし出す	照らし出す
てらし合す	てらしあわす
てらし合す	照らし合す
てらし合す	照らし合わす
てらし合わす	てらしあわす
てらし合わす	照らし合わす
てらす	てらす
てらす	照らす
てらふ	てらう
てりあう	てりあう
てりあわす	てりあわす
てりかえす	てりかえす
てりかがやく	てりかがやく
てりこむ	てりこむ
てりわたる	てりわたる
てり合う	てりあう
てり合う	照り合う
てり合う	照合う
てり合わす	てりあわす
てり合わす	照り合わす
てり渡る	てりわたる
てり渡る	照り渡る
てり渡る	照渡る
てり輝く	てりかがやく
てり輝く	照り輝く
てり輝く	照輝く
てり込む	てりこむ
てり込む	照り込む
てり込む	照込む
てり返す	てりかえす
てり返す	照り返す
てり返す	照返す
てる	てる
てる	照る
てわたす	てわたす
てわたす	手渡す
て伝う	てつだう
て伝う	手伝う
て余す	てあます
て余す	手余す
て向う	てむかう
て向う	手向かう
て向かう	てむかう
て向かう	手向かう
て放す	てばなす
て放す	手放す
て渡す	てわたす
て渡す	手渡す
て薬煉ひく	てぐすねひく
て薬煉ひく	手薬煉引く
て薬煉引く	てぐすねひく
て薬煉引く	手薬煉引く
て薬練ひく	てぐすねひく
て薬練ひく	手薬煉引く
て薬練引く	てぐすねひく
て薬練引く	手薬煉引く
て間どる	てまどる
て間どる	手間取る
て間取る	てまどる
て間取る	手間取る
であう	であう
であう	出会う
であるく	であるく
であるく	出歩く
でいる	でいる
でかかる	でかかる
でかす	でかす
できあう	できあう
できあがる	できあがる
できす	でかす
できす	出来す
できそこなう	できそこなう
できる	できる
でき上がる	できあがる
でき上がる	出来上がる
でき上る	できあがる
でき上る	出来上る
でき合う	できあう
でき合う	出来合う
でき損なう	できそこなう
でき損なう	出来損なう
でくわす	でくわす
でくわす	出会す
でさかる	でさかる
でしぶる	でしぶる
でしゃばる	でしゃばる
でし切る	だしきる
でし切る	出し切る
でし合う	だしあう
でし合う	出し合う
でし惜しむ	だしおしむ
でし惜しむ	出し惜しむ
でし抜く	だしぬく
でし抜く	出し抜く
でし渋る	だししぶる
でし渋る	出し渋る
です	だす
です	出す
でそろう	でそろう
でそろう	出揃う
でたつ	でたつ
でっくわす	でっくわす
でっぱる	でっぱる
でっぱる	出っ張る
でっ会す	でっくわす
でっ会す	出っ会す
でっ張る	でっぱる
でっ張る	出っ張る
でつくす	でつくす
でで立つ	いでたつ
でで立つ	出で立つ
でなおす	でなおす
でなおす	出直す
ではらう	ではらう
ではらう	出払う
でばる	でばる
でまわる	でまわる
でむく	でむく
でむく	出向く
でれつく	でれつく
でんぐりがえす	でんぐりがえす
でんぐりがえる	でんぐりがえる
でんぐり返す	でんぐり返す
でんぐり返る	でんぐりがえる
でんぐり返る	でんぐり返る
で会う	であう
で会う	出会う
で会す	でくわす
で会す	出会す
で入る	でいる
で入る	出入る
で切る	できる
で切る	出切る
で合う	であう
で合う	出会う
で合う	出合う
で向く	でむく
で向く	出向く
で回る	でまわる
で回る	出回る
で尽くす	でつくす
で尽くす	出尽くす
で尽す	でつくす
で尽す	出尽す
で張る	でばる
で張る	出張る
で懸かる	でかかる
で懸かる	出懸かる
で懸る	でかかる
で懸る	出懸る
で戻る	でもどる
で戻る	出戻る
で払う	ではらう
で払う	出払う
で掛かる	でかかる
で掛かる	出掛かる
で掛る	でかかる
で掛る	出掛る
で揃う	でそろう
で揃う	出揃う
で来す	でかす
で来す	出来す
で来上がる	できあがる
で来上がる	出来上がる
で来上る	できあがる
で来上る	出来上る
で来合う	できあう
で来合う	出来合う
で来損なう	できそこなう
で来損なう	出来損なう
で歩く	であるく
で歩く	出歩く
で渋る	でしぶる
で渋る	出渋る
で盛る	でさかる
で盛る	出盛る
で直す	でなおす
で直す	出直す
で立つ	でたつ
で立つ	出立つ
で逢う	であう
で逢う	出会う
といあわす	といあわす
といあわす	問い合わす
といかえす	といかえす
といただす	といただす
といただす	問い質す
とい合す	といあわす
とい合す	問い合す
とい合わす	といあわす
とい合わす	問い合わす
とい糺す	といただす
とい糺す	問い糺す
とい質す	といただす
とい質す	問い質す
とい返す	といかえす
とい返す	問い返す
とい返す	問返す
とう	とう
とう	問う
とうとぶ	とうとぶ
とうとむ	とうとむ
とおざかる	とおざかる
とおざかる	遠ざかる
とおす	とおす
とおす	通す
とおのく	とおのく
とおのく	遠退く
とおりかかる	とおりかかる
とおりこす	とおりこす
とおりこす	通り越す
とおりすがる	とおりすがる
とおり掛かる	とおりかかる
とおり掛かる	通り掛かる
とおり掛る	とおりかかる
とおり掛る	通り掛る
とおり越す	とおりこす
とおり越す	通り越す
とおる	とおる
とおる	通る
とお退く	とおのく
とお退く	遠退く
とかし出す	とかしだす
とかし出す	溶かし出す
とかし取る	とかしとる
とかし込む	とかしこむ
とかし込む	溶かし込む
とかす	とかす
とかす	溶かす
とかす	解かす
とがらかす	とがらかす
とがらす	とがらす
とがる	とがる
とがる	尖る
ときあかす	ときあかす
ときあかす	解き明かす
ときあかす	説き明かす
ときおこす	ときおこす
ときおよぶ	ときおよぶ
ときこむ	ときこむ
ときさとす	ときさとす
ときはなす	ときはなす
ときはなつ	ときはなつ
ときはなつ	解き放つ
ときほぐす	ときほぐす
ときほぐす	解きほぐす
ときめかす	ときめかす
ときめく	ときめく
ときやぶる	ときやぶる
とき及ぶ	ときおよぶ
とき及ぶ	説き及ぶ
とき及ぶ	説及ぶ
とき放す	ときはなす
とき放す	解き放す
とき放す	解放す
とき放つ	ときはなつ
とき放つ	解き放つ
とき放つ	解放つ
とき明かす	ときあかす
とき明かす	解き明かす
とき明かす	解明かす
とき明かす	説き明かす
とき明かす	説明かす
とき破る	ときやぶる
とき破る	説破る
とき聞かす	とききかす
とき聞かす	説き聞かす
とき落とす	ときおとす
とき落とす	説き落とす
とき解す	ときほぐす
とき解す	溶き解す
とき諭す	ときさとす
とき諭す	説き諭す
とき諭す	説諭す
とき起こす	ときおこす
とき起こす	説き起こす
とき起こす	説起こす
とき込む	ときこむ
とき込む	溶き込む
とき込む	説込む
とき離す	ときはなす
とき離す	解き離す
とき離す	解離す
とぎすます	とぎすます
とぎだす	とぎだす
とぎらす	とぎらす
とぎ上がる	とぎあがる
とぎ上がる	研ぎ上がる
とぎ出す	とぎだす
とぎ出す	研ぎ出す
とぎ出す	研出す
とぎ減らす	とぎへらす
とぎ減らす	研ぎ減らす
とぎ澄ます	とぎすます
とぎ澄ます	研ぎ澄ます
とぎ澄ます	研澄ます
とぎ磨く	とぎみがく
とく	とく
とく	溶く
とく	解く
とく	説く
とくす	得す
とぐ	とぐ
とぐ	研ぐ
とけあう	とけあう
とけこむ	とけこむ
とけ入る	とけいる
とけ入る	溶け入る
とけ出す	とけだす
とけ出す	溶け出す
とけ去る	とけさる
とけ合う	とけあう
とけ合う	溶け合う
とけ合う	溶合う
とけ合う	融け合う
とけ合う	解け合う
とけ合う	解合う
とけ残る	とけのこる
とけ込む	とけこむ
とけ込む	溶け込む
とけ込む	溶込む
とけ込む	融け込む
とけ込む	解け込む
とけ込む	解込む
とげだつ	とげだつ
とげ立つ	とげだつ
とげ立つ	刺立つ
とざす	とざす
とざす	閉ざす
としとる	としとる
としふる	としふる
としよる	としよる
とし取る	としとる
とし取る	年取る
とし寄る	としよる
とし寄る	年寄る
とじあわす	とじあわす
とじこむ	とじこむ
とじこもる	とじこもる
とじこもる	閉じ篭もる
とじ合す	とじあわす
とじ合す	綴じ合す
とじ合わす	とじあわす
とじ合わす	綴じ合わす
とじ篭もる	とじこもる
とじ篭もる	閉じ篭もる
とじ籠もる	とじこもる
とじ籠もる	閉じ籠もる
とじ籠もる	閉籠もる
とじ籠る	とじこもる
とじ込む	とじこむ
とじ込む	綴じ込む
とちぐるう	とちぐるう
とちる	とちる
とち狂う	とちくるう
とち狂う	とち狂う
とっかかる	とっかかる
とっかかる	とりかかる
とっくみあう	とっくみあう
とっくみ合う	とっくみあう
とっくみ合う	取っ組み合う
とっくみ合う	取っ組合う
とっくむ	とっくむ
とっくむ	とりくむ
とっちらかす	とっちらかす
とっちらかる	とっちらかる
とっちらかる	とりちらかる
とっつかまる	とっつかまる
とっつく	とっつく
とっつく	とりつく
とってかえす	とってかえす
とってかえす	取って返す
とってかわる	とってかわる
とってかわる	取って代わる
とって代わる	とってかわる
とって代わる	取って代わる
とって返す	とってかえす
とって返す	取って返す
とっぱずす	とっぱずす
とっぱらう	とっぱらう
とっぱらう	とりはらう
とっ付く	とっつく
とっ付く	取っ付く
とっ外す	とっぱずす
とっ外す	取っ外す
とっ払う	とっぱらう
とっ払う	取っ払う
とっ捕まる	とっつかまる
とっ捕まる	取っ捕まる
とっ掛かる	とっかかる
とっ掛かる	取っ掛かる
とっ掛る	とっかかる
とっ掛る	取っ掛る
とっ掴まる	とっつかまる
とっ掴まる	取っ掴まる
とっ散らかす	とっちらかす
とっ散らかす	取っ散らかす
とっ散らかる	とっ散らかる
とっ散らかる	とりちらかる
とっ組み合う	とっくみあう
とっ組み合う	取っ組み合う
とっ組む	とっくむ
とっ組む	取っ組む
とっ組合う	とっくみあう
とっ組合う	取っ組合う
とつぐ	とつぐ
とつぐ	嫁ぐ
ととのう	ととのう
ととのう	整う
ととのう	調う
とどく	とどく
とどく	届く
とどこおらす	とどこおらす
とどこおる	とどこおる
とどこおる	滞る
とどまる	とどまる
とどまる	止まる
とどろかす	とどろかす
とどろく	とどろく
とどろく	轟く
となりあう	となりあう
となりあう	隣り合う
となり合う	となりあう
となり合う	隣り合う
となり合う	隣合う
となる	となる
とばしる	とばしる
とばす	とばす
とばす	飛ばす
とびあがる	とびあがる
とびあがる	飛び上がる
とびありく	とびありく
とびあるく	とびあるく
とびあるく	飛び歩く
とびうつる	とびうつる
とびかう	とびかう
とびかう	飛び交う
とびかえる	とびかえる
とびかかる	とびかかる
とびかける	とびかける
とびきたる	とびきたる
とびこす	とびこす
とびこす	飛び越す
とびこむ	とびこむ
とびさる	とびさる
とびしさる	とびしさる
とびすさる	とびすさる
とびたつ	とびたつ
とびだす	とびだす
とびだす	飛び出す
とびちがう	とびちがう
とびちる	とびちる
とびちる	飛び散る
とびつく	とびつく
とびつく	飛び付く
とびのく	とびのく
とびのく	飛び退く
とびのる	とびのる
とびのる	飛び乗る
とびまわる	とびまわる
とびまわる	飛び回る
とび上がる	とびあがる
とび上がる	飛び上がる
とび上る	とびあがる
とび上る	飛び上がる
とび上る	飛び上る
とび下がる	とびさがる
とび下がる	飛び下がる
とび乗る	とびのる
とび乗る	飛び乗る
とび乗る	飛乗る
とび交う	とびかう
とび交う	飛び交う
とび交う	飛交う
とび付く	とびつく
とび付く	跳び付く
とび付く	跳付く
とび付く	飛び付く
とび付く	飛付く
とび入る	とびいる
とび入る	飛び入る
とび出す	とびだす
とび出す	飛び出す
とび出す	飛出す
とび去る	とびさる
とび去る	飛び去る
とび去る	飛去る
とび回る	とびまわる
とび回る	跳回る
とび回る	飛び回る
とび回る	飛回る
とび掛かる	とびかかる
とび掛かる	跳び掛かる
とび掛かる	飛び掛かる
とび掛る	とびかかる
とび掛る	飛び掛る
とび散る	とびちる
とび散る	飛び散る
とび散る	飛散る
とび歩く	とびあるく
とび歩く	飛び歩く
とび歩く	飛歩く
とび移る	とびうつる
とび移る	飛び移る
とび移る	飛移る
とび立つ	とびたつ
とび立つ	飛び立つ
とび翔る	とびかける
とび翔る	飛び翔る
とび越す	とびこす
とび越す	跳び越す
とび越す	跳越す
とび越す	飛び越す
とび越す	飛越す
とび込む	とびこむ
とび込む	飛び込む
とび込む	飛込む
とび返る	とびかえる
とび返る	飛返る
とび退く	とびのく
とび退く	跳び退く
とび退く	飛び退く
とび退る	とびすさる
とび退る	飛び退る
とび違う	とびちがう
とび違う	飛び違う
とび違う	飛違う
とぶ	とぶ
とぶ	翔ぶ
とぶ	跳ぶ
とぶ	飛ぶ
とぶらう	とむらう
とほる	とおる
とぼす	とぼす
とぼす	ともす
とぼつく	とぼつく
とぼる	とぼる
とます	とます
とまどう	とまどう
とまどう	戸惑う
とまりこむ	とまりこむ
